seed,ga_best_fitness_train_acc,fs_seconds,n_features_selected,selected_features_1based,base_accuracy,base_sensitivity,base_specificity,fs_accuracy,fs_sensitivity,fs_specificity
1130604997,0.9912087912087912,65.88742542266846,17,1 4 5 7 10 11 12 13 15 16 22 24 25 26 27 28 29,0.956140350877193,0.9523809523809523,0.9583333333333334,0.9824561403508771,1.0,0.9722222222222222
2095133045,0.9912087912087912,63.98853802680969,17,4 6 7 8 12 13 14 15 16 19 20 22 23 26 27 28 29,0.9912280701754386,1.0,0.9861111111111112,0.9736842105263158,1.0,0.9583333333333334
1580016183,0.9956043956043956,75.26260614395142,14,9 10 12 13 14 15 17 18 21 22 24 27 28 30,0.9912280701754386,0.9761904761904762,1.0,0.9824561403508771,0.9523809523809523,1.0
1634535062,0.9956043956043956,87.9963641166687,17,2 7 8 9 10 12 13 14 16 18 20 21 22 24 25 27 29,0.956140350877193,0.8809523809523809,1.0,0.956140350877193,0.9047619047619048,0.9861111111111112
1540770719,0.9934065934065934,74.63424873352051,18,2 8 9 12 13 14 15 16 17 19 20 21 22 24 26 27 28 29,0.9824561403508771,0.9523809523809523,1.0,0.9649122807017544,0.9285714285714286,0.9861111111111112
1688060240,0.9934065934065934,85.28536319732666,21,1 3 4 5 6 7 8 9 10 11 13 14 16 17 19 22 23 24 25 27 29,0.9824561403508771,0.9761904761904762,0.9861111111111112,0.9824561403508771,0.9761904761904762,0.9861111111111112
1102145672,0.9934065934065934,77.79808139801025,16,1 4 6 8 13 14 15 16 17 21 22 24 25 27 28 29,0.9649122807017544,1.0,0.9444444444444444,0.9649122807017544,1.0,0.9444444444444444
275121930,0.9934065934065934,63.07708740234375,18,1 6 8 9 10 11 12 14 17 18 20 21 22 23 24 26 27 30,0.956140350877193,1.0,0.9305555555555556,0.9736842105263158,0.9761904761904762,0.9722222222222222
1803345590,0.9934065934065934,110.12298035621643,16,2 4 5 11 12 14 18 19 22 23 25 26 27 28 29 30,0.9473684210526315,0.8809523809523809,0.9861111111111112,0.9649122807017544,0.9285714285714286,0.9861111111111112
967196436,0.9934065934065934,78.60953307151794,18,1 4 6 7 8 9 13 14 17 18 21 22 23 25 26 27 28 29,0.9385964912280702,0.9523809523809523,0.9305555555555556,0.956140350877193,0.8809523809523809,1.0
